Tree Number,CWC,Intercept,Slope,MAE
2375,0.08860176074243561,0.019608616556117817,0.0001397504229298854,0.0014402380936760582
2370,0.0955270325862336,0.03913490516598165,9.731751155761551e-05,0.0017340082165060414
2374,0.08627982108164602,0.04879730593945854,0.00011604069319642627,0.0013592706313587197
2331,0.0795622300360441,0.02724699625914176,0.00015763087673484563,0.0018416992629867234
2332,0.08036125081890198,0.0406928409762649,0.00017937280962134522,0.0013684955938160265
2333,0.04776433688158744,0.026696619939639697,0.00011723454138380824,0.0011610289544140987
2330,0.1009789389600472,0.047893340367555284,0.00015166859622839753,0.0015634119932178498
2328,0.053032902921931434,0.01848430581674104,0.00014130621337322217,0.001171052247334172
2326,0.03956359484639492,0.019618593152430717,0.00020468852266483778,0.0013213103308571074
2325,0.03956359484639492,0.019618593152430717,0.00020468852266483778,0.0013213103308571074
2324,0.0883717257372076,0.0294920401558616,0.00021077428869811375,0.0014000596919044922
2321,0.03649366525758144,0.034864771916800937,0.00020589939707361206,0.001343539875919233
2323,0.03956359484639492,0.019618593152430717,0.00020468852266483778,0.0013213103308571074
2322,0.07563401894227813,0.024995325740219027,0.00018260653165183985,0.0015265610006604889
2320,0.07563401894227813,0.024995325740219027,0.00018260653165183985,0.0015265610006604889
2319,0.04789964957450224,0.036436827143146784,0.00018466067551077653,0.0014223605922178222
2318,0.04789964957450224,0.036436827143146784,0.00018466067551077653,0.0014223605922178222
2317,0.05042236462416804,0.034131770756649374,0.00017192724250260615,0.0013325135001860879
2316,0.05150382931855688,0.016723796103756492,0.00013017343499464176,0.0012426606194888888
2315,0.05150382931855688,0.016723796103756492,0.00013017343499464176,0.0012426606194888888
2314,0.05150382931855688,0.016723796103756492,0.00013017343499464176,0.0012426606194888888
2312,0.05150382931855688,0.016723796103756492,0.00013017343499464176,0.0012426606194888888
2311,0.05150382931855688,0.016723796103756492,0.00013017343499464176,0.0012426606194888888
2310,0.04336262689519018,0.0293496028922304,0.0001636268480652022,0.0011610413653832814
2313,0.04336262689519018,0.0293496028922304,0.0001636268480652022,0.0011610413653832814
2371,0.005194244442489057,0.008509551714792899,0.00018720475937167348,0.0013341759417900268
2372,0.06999931416675956,0.040668986462133364,0.0002231348685218666,0.0015143766970222485
2307,0.08157046861932729,0.02421519483058113,0.0001509458217471097,0.0012855221230789063
2308,0.03292144214341481,0.024398671823198055,0.00013455690776025813,0.0014752996171035525
2373,0.08157046861932729,0.02421519483058113,0.0001509458217471097,0.0012855221230789063
2306,0.10614032501565207,0.02066730137795012,0.00018002626658629423,0.0012158041037032138
2305,0.11238255441636417,0.05323653033562687,0.00018231902585051518,0.0014920995126489543
2304,0.10814388274874287,0.10273176991670557,0.00020126398384111188,0.0018820782133611407
2302,0.09538725383889647,0.08469719572977501,0.0001764429505637004,0.002147605829625338
2303,0.06055467728762839,0.02158343707347214,0.0001565038097724399,0.0013435750827186716
2301,0.08687229083195029,0.05095442765563304,0.0001944019799211414,0.001978922641888821
2024,0.014225336778366007,0.02608373147309542,0.00021794150492309471,0.0011672832120338925
2023,0.12287493275327971,0.06517385438778768,0.0001242849874168015,0.001744936016597846
2021,0.04786698462716775,0.0728791778899338,0.00016650215383693393,0.002102839546242181
2025,0.06094491654020072,0.10204466692476291,0.00012182417046884629,0.002497846715937357
2020,0.059657976886302616,0.05842209618519461,0.00012269891867086786,0.0016066265196365292
2022,0.09086057972308417,0.06904069700576639,0.00021696114237729688,0.0018321150334952834
2026,0.06470561351447371,0.11367735467481016,0.00014338495391614752,0.0020737619982242007
2027,0.03322690399527552,0.06330459980434748,8.974320339262186e-05,0.00208933874795026
2029,0.06895067210300967,0.0695217654226824,0.00021210452816598888,0.0019925784839994994
2028,0.05833253260635219,0.09792522951385979,0.00019262692704827758,0.002107686214311321
2030,0.06533004395589288,0.03391274309390017,0.00019851911138353103,0.0018231929660834552
2031,0.07145115263232606,0.08107945927975245,0.00010885981967409177,0.0015060136688183922
2008,5.124458163507383e-10,0.013582439262755321,0.00011686519208612171,0.0014276253819936562
2007,0.033439254448343746,0.058585140712186685,0.00015434452008753228,0.0012321606605698702
2006,0.04999123145081025,0.051472130754354986,0.00017415774360086695,0.0011419236254741078
2015,0.01964601717491187,8.303354300613823e-07,0.0002198267636705594,0.0014345605515429592
2014,4.130154337314524e-06,3.0503202210455007e-07,0.00018505893821524203,0.0018127700097077069
2016,0.059352239171613995,0.02172152689374944,0.00020886655788753265,0.001377867735390113
1478,0.11733253303665195,0.028184947406997136,0.00013322280489408412,0.0017481566333800043
2012,0.04816621603150455,4.549791019874941e-07,0.0002755531781682989,0.0017149043512240114
2004,0.01764379144648839,0.05406443831799882,0.000112958491813467,0.0024355496785158793
2005,0.03063033426042614,0.014231929008443023,0.0002259702061427966,0.0010424071619212455
2085,4.2664711372579117e-10,2.2199996673743518e-08,0.00019918246370172844,0.0012333394181086234
2089,0.05687158860926104,0.03779405130115656,0.00016603430659356173,0.0017231014369571843
2086,1.9291821860205207e-11,4.169900512887315e-10,0.00020371306248995362,0.0023400919738092467
2090,0.012482995878512882,0.013546509646704905,0.00022181158794729863,0.0013264275324160915
2092,0.0071247034665498366,0.011471656714035092,0.00018137032633910188,0.0011678568876452202
2091,0.12927026712364928,0.07278615390689146,0.00022990584781904763,0.002383932421446183
2087,4.651135042928327e-08,4.972604338756588e-06,0.00021696187129128418,0.0013435738769424603
2093,0.08365044858284607,0.055716093467045855,0.00019995329297469046,0.0016286313765223222
2088,0.025390724719432014,6.660604763931568e-07,0.00018515581975839425,0.001026200386026524
2345,0.07119002693561408,0.03545976299810744,0.000226880438254825,0.0019266077053674687
